id	image_type	year	title	image	description
3331	jpg	2023	Lest get refined, not fined.	https://amul.com/files/hits/amul-hits-3331.jpg	Kohli and Gambhir involved in ugly IPL spat! - (May'23)
3330	jpg	2023	Ton ki baat!	https://amul.com/files/hits/amul-hits-3330.jpg	PM Modi completes 100 episodes of 'Mann ki Baat'! - (May'23)
3329	jpg	2023	Citadelicious	https://amul.com/files/hits/amul-hits-3329.jpg	Priyanka Chopra stars in exciting new web series! - (Apr'23)
3327	jpg	2023	We're sad to say you're on your way...	https://amul.com/files/hits/amul-hits-3327.jpg	Tribute to legendary singer-actor- activist! - (Apr'23)
3328	jpg	2023	Har Dal ka bal	https://amul.com/files/hits/amul-hits-3328.jpg	Tribute to ex-CM of Punjab and much revered leader! - (Apr'23)
3326	jpg	2023	A gate for an all time great!	https://amul.com/files/hits/amul-hits-3326.jpg	Little Master honoured with gate at Sydney Cricket Ground to mark his birthday! - (Apr'23)
3325	jpg	2023	Drastick step?	https://amul.com/files/hits/amul-hits-3325.jpg	Twitter removes blue ticks from verified accounts! - (Apr'23)
3324	jpg	2023	iMaska for all!	https://amul.com/files/hits/amul-hits-3324.jpg	Apple first store in India opens in Mumbai! - (Apr'23)
3323	jpg	2023	Coachella ka Guru	https://amul.com/files/hits/amul-hits-3323.jpg	Diljit Dosanjh, first Indian artiste to perform at prestigious music and arts festival! - (Apr'23)
3322	jpg	2023	Have Juice with breakfast	https://amul.com/files/hits/amul-hits-3322.jpg	Jupiter's Icy Moons Explorer (JUICE) Misson launches... - (Apr'23)
3321	jpg	2023	Driven by passion and compassion	https://amul.com/files/hits/amul-hits-3321.jpg	Tribute to a much loved and pioneering industrialist!- (Apr'23)
3320	jpg	2023	Back from the Brinku!	https://amul.com/files/hits/amul-hits-3320.jpg	KKR batsman's last over heroics- five successive sixes! - (Apr'23)
3319	jpg	2023	Will they prez charges?	https://amul.com/files/hits/amul-hits-3319.jpg	Former U.S President indicted! - (Apr'23)
3318	jpg	2023	Inpack player	https://amul.com/files/hits/amul-hits-3318.jpg	The concept of 'Impact Player'introduced in IPL 2023! - (Apr'23)
3317	jpg	2023	Salimji ko hamara akhri salaam...	https://amul.com/files/hits/amul-hits-3317.jpg	Tribute to popular six hitting all-rounder! - (Apr'23)
3316	jpg	2023	Sabka favourite box	https://amul.com/files/hits/amul-hits-3316.jpg	Indian women boxers create history in World Championships! - (Mar'23)
3315	jpg	2023	Mumbai's kaur strength	https://amul.com/files/hits/amul-hits-3315.jpg	Mumbai Indians win inaugural Women's Premier League (WPL)! - (Mar'23)
3314	jpg	2023	Alvida Pradeepda!	https://amul.com/files/hits/amul-hits-3314.jpg	Tribute to popular Bollywood director Pradeep Sarkar! - (Mar'23)
3313	jpg	2023	o mere sona re, sona re, sona re	https://amul.com/files/hits/amul-hits-3313.jpg	Gold at an all-time high! - (Mar'23)
3312	jpg	2023	Butter ka Zwaagatto karo	https://amul.com/files/hits/amul-hits-3312.jpg	Quirky Bollywood film about the life of a delivery service man! - (Mar'23)
3311	jpg	2023	Can't say naa to an oscaRRR	https://amul.com/files/hits/amul-hits-3311.jpg	Naatu Naatu wins Best Original Song at the Oscars! - (Mar'23)
3310	jpg	2023	Haathi mere saathi!	https://amul.com/files/hits/amul-hits-3310.jpg	The Elephant Whisperers wins Best Documentary Short Film at Oscars! - (Mar'23)
3309	jpg	2023	Aap hamare dil mein rehte hai	https://amul.com/files/hits/amul-hits-3309.jpg	Tribute to popular and much loved actor-director! - (Mar'23)
3308	jpg	2023	Lady get set go!	https://amul.com/files/hits/amul-hits-3308.jpg	Celebrating International Women's Day! - (Mar'23)
3307	jpg	2023	Toast kar for Deepika	https://amul.com/files/hits/amul-hits-3307.jpg	Deepika Padukone to be a presenter at the 95th Academy Awards! - (Mar'23)
3306	jpg	2023	Yeh toh maska shuruat hai!	https://amul.com/files/hits/amul-hits-3306.jpg	The first Women's Premier League begins! - (Mar'23)
3305	jpg	2023	World's banking on Ajay	https://amul.com/files/hits/amul-hits-3305.jpg	New World Bank chief nominated by US President! - (Feb'23)
3304	jpg	2023	Kuch lamhe romance ke !	https://amul.com/files/hits/amul-hits-3304.jpg	Indian docu-series on the films of Yash Chopra... - (Feb'23)
3301	jpg	2023	Smooth railing!	https://amul.com/files/hits/amul-hits-3301.jpg	India's indigenous semi high-speed train connecting many cities day by day! - (Feb'23)
3302	jpg	2023	Jaddu, ungli sirf butter mein daalo!	https://amul.com/files/hits/amul-hits-3302.jpg	Star Indian all- rounder fined for applying cream on ball! - (Feb'23)
3303	jpg	2023	Smriti Dhan-Dhana!	https://amul.com/files/hits/amul-hits-3303.jpg	Kudos to Ms. Mandhana, the most expensive buy at first WPL auction! - (Feb'23)
3300	jpg	2023	LeBurn Maska, James?	https://amul.com/files/hits/amul-hits-3300.jpg	Basketball star breaks NBA's all-time scoring record! - (Feb'23)
3299	jpg	2023	Kej is all the Rej!	https://amul.com/files/hits/amul-hits-3299.jpg	Indian music composer wins hatrick of Grammy Awards! - (Feb'23)
3298	jpg	2023	Her kavithai bloomed in every Raagam	https://amul.com/files/hits/amul-hits-3298.jpg	Tribute to legendary playback singer of South Indian cinema! - (Feb'23)
3297	jpg	2023	Everybody's favourite slab!	https://amul.com/files/hits/amul-hits-3297.jpg	The 2023-2024 Budget! - (Feb'23)
3296	jpg	2023	Jhoome jo makhan	https://amul.com/files/hits/amul-hits-3296.jpg	The Badshah of Bollywood makes comeback with blockbuster! - (Jan'23)
3295	jpg	2023	Wonder-19 Victory!	https://amul.com/files/hits/amul-hits-3295.jpg	Women's U19 team won the inaugural World Cup! - (Jan'23)
